run	species	cell	charge_avg_online	charge_avg_offline	charge_avg_offline_err	run_dose(Pe/cm2)
16066	p	15	0.8237	0.8296	0.003558	0.040779609
16067	p	15	0.8227	0.8283	0.003562	0.040930627
16069	p	15	0.8263	0.8319	0.00372	0.037415645
16074	p	15	0.8365	0.8436	0.003653	0.038253058
16075	p	15	0.8285	0.8351	0.003557	0.039769756
16076	p	15	0.8276	0.8339	0.003685	0.038374836
16077	p	15	0.8269	0.833	0.003619	0.036940855
16078	p	15	0.8313	0.8373	0.005776	0.015563391
16137	p	15	0.6343	0.6089	0.000803	0.322977652
16138	p	15	0.6332	0.6044	0.000851	0.276974634
16144	p	15	0.6306	0.5974	0.001062	0.175719647
16145	p	15	0.6284	0.594	0.001109	0.160738561
16146	p	15	0.6261	0.5911	0.002156	0.044776158
16148	p	15	0.6284	0.5947	0.001119	0.162090176
16156	p	15	-0.5815	-0.5445	0.001846	0.051398639
16157	p	15	-0.5772	-0.5411	0.001473	0.074165055
16158	p	15	-0.5768	-0.5403	0.0017	0.061797913
16164	p	15	-0.5839	-0.5461	0.005921	0.003889388
16166	p	15	-0.5813	-0.5453	0.001944	0.041715686
16167	p	15	-0.5796	-0.5432	0.001191	0.107184914
16168	p	15	-0.5826	-0.5457	0.003212	0.010510851
16169	p	15	-0.5826	-0.5455	0.002605	0.021893529
16170	p	15	-0.5789	-0.5417	0.000986	0.174286243
16178	p	15	-0.5728	-0.5349	0.001259	0.114582786
16211	p	15	0.6854	0.6648	0.001472	0.152875542
16213	p	15	0.6966	0.6752	0.001834	0.098967377
16214	p	15	0.6976	0.6755	0.001523	0.157553104
16221	p	15	0.6975	0.6746	0.001512	0.151032927
16222	p	15	0.6926	0.6689	0.001432	0.176738196
16223	p	15	0.6887	0.664	0.001333	0.203330626
16224	p	15	0.6878	0.6626	0.005007	0.012182136
16225	p	15	0.6885	0.6632	0.002572	0.052037753
16226	p	15	0.6872	0.6615	0.002718	0.044114381
16228	p	15	0.6873	0.6613	0.00207	0.085466588
16231	p	15	-0.5166	-0.4938	0.001322	0.092881706
16232	p	15	-0.5703	-0.5455	0.001114	0.181494246
16233	p	15	-0.5852	-0.5595	0.001121	0.195537741
16234	p	15	-0.5906	-0.5642	0.002635	0.036991716
16235	p	15	-0.5922	-0.5657	0.003977	0.016117881
16236	p	15	-0.5938	-0.5672	0.002178	0.051528286
16238	p	15	-0.5946	-0.5678	0.003305	0.022269139
16243	p	15	-0.5993	-0.572	0.00143	0.119535714
16244	p	15	-0.6003	-0.5727	0.001668	0.08708928
16245	p	15	-0.6015	-0.5733	0.001103	0.208973434
16246	p	15	-0.6046	-0.5759	0.001155	0.19367887
16248	p	15	-0.6045	-0.5753	0.001193	0.178115739
16249	p	15	-0.6058	-0.5764	0.002549	0.035278814
16250	p	15	-0.6047	-0.5753	0.002981	0.026299403
16251	p	15	-0.6053	-0.5756	0.002425	0.041025451
16252	p	15	-0.6065	-0.5768	0.002151	0.052342261
16253	p	15	-0.606	-0.5762	0.001313	0.136124047
16256	p	15	-0.6039	-0.5738	0.001181	0.183492217
16257	p	15	-0.602	-0.5717	0.001158	0.189341012
16259	p	15	-0.5981	-0.568	0.001207	0.167366885
16260	p	15	-0.5968	-0.5667	0.001605	0.098104626
16317	p	15	0.6177	0.6119	0.008856	0.025380817
16318	p	15	0.6051	0.5986	0.003995	0.12275691
16320	p	15	0.5963	0.5887	0.003472	0.156949585
16321	p	15	0.5903	0.5815	0.008472	0.131564773
16322	p	15	0.6106	0.5987	0.008428	0.077782973
16323	p	15	0.6138	0.6008	0.009782	0.047149399
16325	p	15	0.6162	0.6027	0.024539	0.010328044
16326	p	15	0.6136	0.6	0.015072	0.026489861
16328	p	15	0.6066	0.5905	0.007312	0.172955494
16329	p	15	0.6039	0.5867	0.006993	0.1980576
16330	p	15	0.6003	0.5818	0.00679	0.220586043
16331	p	15	0.5994	0.58	0.011086	0.071417729
16332	p	15	0.6013	0.5813	0.027529	0.010945552
16333	p	15	0.6023	0.5822	0.014954	0.031640059
16335	p	15	-0.5117	-0.5048	0.005735	0.159741663
16336	p	15	-0.5248	-0.5175	0.007639	0.092415116
16337	p	15	-0.5268	-0.5191	0.009432	0.064219777
16338	p	15	-0.532	-0.524	0.006651	0.137778471
16339	p	15	-0.5356	-0.5273	0.011442	0.043685315
16341	p	15	-0.5362	-0.5275	0.006018	0.163558231
16343	p	15	-0.5336	-0.5242	0.006232	0.155888789
16345	p	15	-0.5309	-0.521	0.011255	0.047713268
16346	p	15	-0.5352	-0.5249	0.005679	0.188092528
16348	p	15	-0.5326	-0.5216	0.005738	0.180702125
16350	p	15	-0.5347	-0.5235	0.006606	0.132281055
16352	p	15	-0.536	-0.5243	0.005826	0.166787431
16353	p	15	-0.5343	-0.5221	0.005644	0.187949735
16354	p	15	-0.5328	-0.5202	0.005682	0.173467696
16355	p	15	-0.5322	-0.5192	0.005731	0.174253749
16356	p	15	-0.5323	-0.5187	0.00587	0.167472278
16357	p	15	-0.5303	-0.5164	0.007376	0.110160509
16658	p	15	0.3546	0.3557	0.000668	0.071259799
16659	p	15	0.383	0.3838	0.000683	0.079091517
16660	p	15	0.4015	0.4021	0.000806	0.059571108
16664	p	15	0.447	0.4473	0.001646	0.016573839
16665	p	15	0.4674	0.4672	0.000511	0.203759125
16666	p	15	0.4813	0.4803	0.000784	0.093157808
16671	p	15	0.4935	0.492	0.00058	0.172402724
16672	p	15	0.5063	0.504	0.000588	0.165159383
16673	p	15	0.5104	0.5077	0.001637	0.023106831
16674	p	15	0.5135	0.5107	0.001072	0.054380663
16675	p	15	0.5638	0.5555	0.000671	0.161060075
16676	p	15	0.575	0.5652	0.000757	0.18766109
16678	p	15	0.5755	0.5648	0.001241	0.068742492
16679	p	15	0.5749	0.5638	0.001172	0.073514312
16681	p	15	0.5744	0.5625	0.000735	0.20515157
16682	p	15	0.5733	0.5603	0.000735	0.190238352
16683	p	15	0.5712	0.5576	0.000733	0.190172951
16685	p	15	0.5757	0.5613	0.001619	0.036767851
16687	p	15	0.5708	0.5558	0.005386	0.003628747
16688	p	15	0.5711	0.5552	0.000713	0.204621352
16689	p	15	0.5698	0.5533	0.001282	0.064009208
16690	p	15	0.5702	0.5533	0.002004	0.025742745
16692	p	15	0.5696	0.5524	0.000792	0.154332611
16693	p	15	0.5687	0.5511	0.00073	0.190988317
16695	p	15	0.5697	0.5519	0.004129	0.00628938
16709	p	15	0.5815	0.5751	0.00098	0.059758705
16710	p	15	0.5779	0.571	0.001019	0.054367122
16711	p	15	0.5724	0.5648	0.000551	0.200836249
16712	p	15	0.5651	0.5565	0.000517	0.207043795
16713	p	15	0.5691	0.5589	0.000525	0.210732092
16715	p	15	0.5705	0.5593	0.000709	0.111372678
16716	p	15	0.5684	0.5568	0.000776	0.094168529
16717	p	15	0.5693	0.557	0.000621	0.148677776
16718	p	15	0.5686	0.5561	0.001138	0.044388758
16719	p	15	0.568	0.555	0.00056	0.178600312
16720	p	15	0.5656	0.5522	0.000741	0.105039025
16721	p	15	-0.2661	-0.2577	0.001069	0.011002907
16722	p	15	-0.3898	-0.3806	0.001027	0.024591573
16723	p	15	-0.4951	-0.485	0.00054	0.149800547
16726	p	15	-0.5045	-0.4936	0.000468	0.2120643
16727	p	15	-0.509	-0.4978	0.000526	0.166872787
16728	p	15	-0.5116	-0.4998	0.000485	0.185923657
16729	p	15	-0.5124	-0.5003	0.001001	0.045790647
16730	p	15	-0.5127	-0.5004	0.000644	0.115846686
16731	p	15	-0.513	-0.5005	0.00078	0.079618466
16732	p	15	-0.513	-0.5002	0.000667	0.10841732
16733	p	15	-0.5119	-0.4984	0.001396	0.023719765
16734	p	15	-0.5084	-0.4951	0.002664	0.005660584
16736	p	15	-0.5121	-0.4983	0.000626	0.169215497
16738	p	15	-0.5142	-0.5002	0.000629	0.113131682
16742	p	15	-0.458	-0.4501	0.000951	0.041795009
16743	p	15	-0.511	-0.5025	0.000517	0.168103253
16744	p	15	-0.5116	-0.5026	0.000479	0.208351695
16746	p	15	-0.5051	-0.4956	0.000486	0.195422133
16747	p	15	-0.5045	-0.4944	0.000479	0.198082751
16748	p	15	-0.5079	-0.4964	0.000489	0.182013154
16749	p	15	-0.5087	-0.4967	0.001278	0.027333645
16750	p	15	-0.5073	-0.4948	0.000484	0.198083229
16751	p	15	-0.5121	-0.499	0.001109	0.038542998
16752	p	15	-0.5118	-0.4986	0.000862	0.06434681
16753	p	15	-0.5241	-0.5147	0.000958	0.053328273
16754	p	15	-0.5186	-0.5092	0.000499	0.199913559
16755	p	15	-0.5065	-0.4967	0.000482	0.199279339
16756	p	15	-0.4999	-0.4899	0.001111	0.036650998
16757	p	15	-0.5022	-0.4919	0.000488	0.189317787
16758	p	15	-0.4999	-0.4892	0.000537	0.156036899
